Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Total
1995;17.84;16.4;20.44;32.92;68.03;33.44;17.84;16.77;15.6;12.91;10.24;11.65;273.69
1996;12.72;13.53;11.2;13.19;31.34;16.59;12.86;13.74;13.32;13.58;12.03;12.11;176.07
1997;12.45;11.68;12.53;13.19;48.48;43.03;20.14;17.36;14.31;13.34;15.63;14.52;236.29
1998;14.22;14.37;17.86;19.65;46.07;51.58;20.44;18.27;19.47;17.76;18.14;19.28;277
1999;18.24;19.01;25.34;30.59;57.32;36.55;18.03;18.37;16.46;14.54;12.67;16.39;283.36
2000;11.89;11.43;13.39;18.61;55.44;33.18;20.68;16.5;16.15;15.94;14.39;14.44;241.58
2001;14.54;15.56;21.16;22.14;57.59;44.32;19.9;15.91;15.81;14.52;14.2;17.03;272.37
2002;15.78;15.82;16.45;22.78;52.76;39.66;20.11;15.45;14.07;13.39;12.93;15.19;254.24
2003;17.46;15.56;16.79;20.61;46.34;31.1;18.32;16.66;14.98;15.48;14.96;16.12;244.12
2004;16.98;17.19;16.47;23.35;47.68;27.22;22.42;19.66;15.84;15.8;15.42;17.57;255.31
2005;18.88;17.01;22.18;26.18;61.87;43.29;19.15;17.25;15.37;14.14;12.03;12.88;279.94
2006;12.83;12.89;13.5;11.92;37.23;26.44;15.51;14.14;13.06;13.26;13.22;18.19;201.88
2007;18.99;19.69;28.12;33.44;45.26;36.29;19.5;17.46;15.91;14.89;13.09;13.02;275.82
2008;12.75;12.58;15.7;24.6;49.28;22.27;15.62;15.27;14.26;13.93;13.69;20.03;229.53
2009;19.53;17.32;18;16.51;45.8;24;15.24;15.27;14.39;13.82;13.32;15.72;228.69
2010;12.21;12.39;14.87;14.05;45;26.44;13.07;12.96;11.74;11.57;10.83;11.84;196.65
2011;12.03;11.3;13.37;13.19;43.12;16.54;13.58;13.15;12.6;13.28;12.18;15.27;189.03
2012;13.58;12.9;14.54;13.58;49.55;31.1;16.2;13.58;12.57;12.83;14.72;25.02;229.69
2013;18.91;16.33;18.53;27.99;52.76;36.03;16.15;13.34;12.62;13.18;14.41;17.2;257.34
2014;16.45;15.92;21.48;18.69;42.85;18.04;13.74;12.72;14.02;13.28;12.03;13.31;212.29
2015;12.56;10.93;13.1;11.9;29.73;18.87;13.9;14.17;14.83;13.79;13.09;15.21;181.65
2016;16.07;16.36;16.5;26.44;64.28;34.73;16.34;13.95;12.78;13.26;14.23;16.47;261.2
