Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Total
1995;0.36;0.4;0.55;1.77;1.74;0.67;0.44;0.35;0.3;0.3;0.3;0.16;7.379
1996;0.16;0.17;0.2;0.44;1.8;1.07;0.52;0.33;0.28;0.28;0.28;0.2;5.692
1997;0.15;0.14;0.2;0.72;1.8;1.09;0.49;0.37;0.29;0.29;0.27;0.18;5.96
1998;0.17;0.14;0.2;0.72;2.81;2.56;0.83;0.5;0.37;0.34;0.29;0.21;9.114
1999;0.21;0.22;0.31;1.01;2.05;0.81;0.44;0.3;0.25;0.26;0.24;0.21;6.276
2000;0.21;0.19;0.29;1.15;2.6;2.37;1.29;1.09;0.6;0.49;0.39;0.27;10.91
2001;0.42;0.47;0.52;1.15;2.08;1.53;0.6;0.36;0.28;0.28;0.37;0.32;8.389
2002;0.36;0.34;0.63;1.79;2.64;3.21;1.35;0.63;0.47;0.44;0.41;0.26;12.52
2003;0.27;0.23;0.31;0.97;2.07;1.17;0.7;0.55;0.39;0.38;0.37;0.31;7.695
2004;0.29;0.29;0.39;1.67;3.13;2.15;0.92;0.6;0.42;0.42;0.46;0.39;11.131
2005;0.32;0.25;0.28;0.87;2.58;2.62;0.98;0.57;0.38;0.31;0.24;0.2;9.587
2006;0.19;0.19;0.21;0.56;0.51;0.32;0.25;0.16;0.11;0.11;0.11;0.12;2.848
2007;0.16;0.17;0.26;0.76;1.85;2.33;0.93;0.5;0.32;0.28;0.23;0.17;7.947
2008;0.2;0.14;0.24;0.91;1.23;0.72;0.48;0.33;0.26;0.28;0.27;0.25;5.313
2009;0.17;0.15;0.18;0.91;0.77;0.49;0.2;0.14;0.12;0.13;0.12;0.12;3.5
2010;0.12;0.08;0.11;0.72;1.21;0.53;0.33;0.19;0.14;0.12;0.14;0.13;3.816
2011;0.09;0.1;0.09;0.79;2.12;0.84;0.48;0.29;0.22;0.24;0.18;0.13;5.55
2012;0.16;0.16;0.16;0.79;1.82;0.73;0.41;0.32;0.3;0.31;0.34;0.26;5.755
2013;0.22;0.19;0.31;1.65;2.08;0.95;0.58;0.42;0.45;0.66;0.63;0.51;8.609
2014;0.37;0.32;0.35;1.6;2.16;1.68;0.72;0.44;0.34;0.32;0.24;0.15;8.672
2015;0.18;0.24;0.28;0.5;1.34;0.74;0.4;0.28;0.24;0.24;0.24;0.21;4.888
2016;0.23;0.25;0.25;1.16;1.74;0.76;0.46;0.35;0.32;0.32;0.31;0.33;6.468
