,type,name,folow_to,length_km,area_km²,edge
0,Озеро,Красновское,река  Большой  Иргиз,"0,5",0,Большой  Иргиз
1,Река,Атмис,река  АТМИСС,15,101,АТМИСС
15,Река,"без  названия,  у  с.  Порзамка",река  Клязьма,20,444,Клязьма
20,Река,"без  названия,  у  с.  Бычковский",река  Березуйка,16,"90,2",Березуйка
21,Река,Беспута,река  Беспута,20,95,Беспута
22,Река,Беспута,река  Беспута,14,"58,3",Беспута
23,Река,Беспута,река  Беспута,18,105,Беспута
26,Река,Большая  Липня,река  Клязьма,55,272,Клязьма
28,Река,Аксел,река  Большой  Аксел,14,0,Большой  Аксел
31,Река,Бобровка,река  БРЫНЬ,16,"67,5",БРЫНЬ
32,Река,Брынец,река  БРЫНЬ,10,0,БРЫНЬ
33,Река,"без  названия,  у  с.  Дмитриево-Поливаново",река  БУРТАСС,12,0,БУРТАСС
34,Река,Бутовка,река  Баскаковка,10,0,Баскаковка
35,Река,"без  названия,  у  с.  Тенево",река  ВАД,15,"37,6",ВАД
36,Река,"без  названия,  у  с.  Тенево",река  ВАД,11,0,ВАД
37,Река,Вадакш,река  ВАД,14,0,ВАД
38,Река,Варежка,река  АТМИСС,40,278,АТМИСС
39,Река,"без  названия,  у  с.  Кобылкино",река  Варежка,13,0,Варежка
40,Река,Вачка,река  ВАД,16,87,ВАД
43,Река,Белколодезь  (Белоколодезь),водохранилище  вдхр  Шатское  (Иван-Озеро),"6,7","65,8",вдхр  Шатское  (Иван-Озеро)
44,Озеро,Белое,озеро  Великое,"0,32",0,Великое
45,Озеро,Белое,озеро  Великое,"2,98",0,Великое
49,Река,"без  названия,  у  с.  Гати",река  ВЕНЕВКА,13,0,ВЕНЕВКА
50,Река,Бока,река  ВЕРДА,25,167,ВЕРДА
51,Река,БРУСНА,река  ВЕРДА,24,198,ВЕРДА
52,Река,"без  названия,  у  ст.  Кремлево",река  ВЕРДА,13,0,ВЕРДА
53,Река,Вердица,река  ВЕРДА,39,181,ВЕРДА
55,Река,Вирушка,река  АТМИСС,16,"96,8",АТМИСС
56,Река,Витуша,река  ВЕРДА,10,0,ВЕРДА
57,Озеро,Виша,река  Виша,"1,76",139,Виша
59,Река,"без  названия,  у  с.  Городищи",река  ВОБЛЯ,10,0,ВОБЛЯ
60,Река,"без  названия,  у  с.  Комлишки",река  Возополь  (Возоболь),10,0,Возополь  (Возоболь)
61,Озеро,Воймега,река  ВОЙМЕГА,"1,040",0,ВОЙМЕГА
62,Река,Волосовка,река  АМШАНКА,16,"38,5",АМШАНКА
64,Река,Волхона,река  Волхона,16,110,Волхона
65,Озеро,Бездон  (Калугово),река  ВОРОНЯ  (Б.ВОРОНА),"0,32",0,ВОРОНЯ  (Б.ВОРОНА)
66,Река,ВЕЖБОЛОВКА,река  ВОРША,22,"57,1",ВОРША
67,Река,Борька  (Большая  Воря),река  Воря,21,88,Воря
69,Река,"без  названия,  у  с.  Ильинское",река  ВЫПРЕЙКА,14,0,ВЫПРЕЙКА
72,Река,"без  названия,  у  с.  Малая  Кашаевка",река  Выша  (Нокса),10,0,Выша  (Нокса)
73,Река,"без  названия,  у  с.  Русско-Никольское",река  Выша  (Нокса),10,0,Выша  (Нокса)
77,Река,Вьюница,река  ГНИЛИЧКА,10,"74,8",ГНИЛИЧКА
78,Река,Городечня,река  ВОРОНЯ  (Б.ВОРОНА),12,0,ВОРОНЯ  (Б.ВОРОНА)
80,Река,ГРЯЗНУХА,река  БУРТАСС,22,73,БУРТАСС
82,Река,Вековка,река  ГУСЬ,11,0,ГУСЬ
83,Река,"без  названия,  у  с.  Красный  Якорь",река  ГУСЬ,10,0,ГУСЬ
84,Озеро,Гусь,река  ГУСЬ,"0,3",148,ГУСЬ
85,Река,ДАНДУР,река  ГУСЬ,23,144,ГУСЬ
86,Река,Грохот,в  32    от  устья,24,113,в  32    от  устья
87,Река,"без  названия,  у  с.  Прилуки",река  Демина,15,"32,7",Демина
88,Река,Даренка,река  Демина,16,62,Демина
89,Река,Деминка,река  Дебря,12,0,Дебря
90,Река,ДЕСНА,река  ГУСЛИЦА,17,"80,8",ГУСЛИЦА
91,Река,Дмитриевка  (Дмитровка),река  Вьюница,"6,6",0,Вьюница
92,Река,Вьюница,река  ВОЙМЕГА,18,0,ВОЙМЕГА
93,Река,Добрея,река  Воря,15,"77,3",Воря
94,Озеро,Долгое,озеро  Великое,"2,080",0,Великое
95,Озеро,Долгое,река  АЛЬБА,"0,56","21,1",АЛЬБА
96,Река,Донинка,река  ГЖЕЛКА,20,107,ГЖЕЛКА
97,Река,ДОРКА,река  ГЖЕЛКА,27,144,ГЖЕЛКА
98,Река,Дубенка,река  ВЫТЕБЕТЬ,16,"48,1",ВЫТЕБЕТЬ
99,Река,Дубенка,река  ДУБНА  (ДУБЕНКА),12,"31,5",ДУБНА  (ДУБЕНКА)
100,Озеро,без  названия,озеро  Дубовое,"0,36",0,Дубовое
101,Река,ДУБЯНКА,река  ВОЖА,10,0,ВОЖА
102,Река,Еленка,река  ВЫТЕБЕТЬ,16,"78,2",ВЫТЕБЕТЬ
103,Река,"без  названия,  у  с.  Панютино",река  Ельтма,10,0,Ельтма
104,Река,Жабка,река  Гуменка,10,0,Гуменка
105,Река,Виля,река  Железница,25,137,Железница
106,Река,Восток,река  Желонья,13,0,Желонья
107,Река,Большая  Гвидка,река  ЖИЗДРА,21,"83,9",ЖИЗДРА
108,Река,Другуска,река  ЖИЗДРА,36,183,ЖИЗДРА
109,Река,Дрисенка,река  ЖИЗДРА,15,"38,3",ЖИЗДРА
110,Река,Амжеронка,река  ЖИЗДРА,15,"43,4",ЖИЗДРА
111,Река,Вязовенка  (Вязовка),река  ЖИЗДРА,14,0,ЖИЗДРА
112,Река,ВЕРТИНКА,река  ЖИЗДРА,18,"67,4",ЖИЗДРА
113,Река,"Драгожань  (Драгожанка,  Драготань,  Драгошинка)",река  ЖИЗДРА,29,275,ЖИЗДРА
114,Река,"без  названия,  у  с.  Кожановки",река  ЖИЗДРА,11,0,ЖИЗДРА
115,Река,Жмучка,река  ВОРЯ,11,0,ВОРЯ
116,Река,"без  названия,  у  с.  Новопанского",река  ЖРАКА,10,0,ЖРАКА
118,Река,Журавка,река  ВАД,13,0,ВАД
119,Река,Зароща,река  ЗУША,11,0,ЗУША
120,Река,"без  названия,  у  с.  Петровское",река  ЗУША,11,0,ЗУША
121,Река,"без  названия,  у  с.  Хапово",река  ЗУША,11,0,ЗУША
122,Река,Грунец,река  ЗУША,7,"50,7",ЗУША
123,Река,Грязная,река  ЗУША,16,175,ЗУША
126,Река,Известь  (Известы),река  Выша  (Нокса),28,226,Выша  (Нокса)
127,Река,"без  названия,  у  с.  Кужля",река  Известь  (Известы),12,0,Известь  (Известы)
128,Река,Вячка,река  Известь  (Известы),12,0,Известь  (Известы)
129,Река,Жерновка,река  ИЛЕВНА,22,121,ИЛЕВНА
130,Река,Дубенка,река  Ильмис,10,0,Ильмис
131,Река,Ильмис,река  Велетьма,12,0,Велетьма
134,Река,Воймига,река  ИРМЕС,36,210,ИРМЕС
135,Река,Ильмис,река  ИРМЕС,22,145,ИРМЕС
136,Озеро,Исихра,река  Бужа  (Исток),"1,64",38,Бужа  (Исток)
137,Река,"Ильятенка  (Березовка,  Дураковка)",река  ИСМА  (ИСЬМА),19,"67,5",ИСМА  (ИСЬМА)
138,Река,Инсарка,река  ИССА,39,328,ИССА
139,Река,"без  названия,  у  с.  Арана",река  ИСТА,11,0,ИСТА
140,Река,Борщевка,река  ИСТА,11,0,ИСТА
141,Река,Истичка,река  ИСТА,27,148,ИСТА
143,Река,Исток  (Деев  Исток),река  Клязьма,16,149,Клязьма
144,Река,"Исток  (Заборовский  Исток,  Заборский  Исток)",озеро  без  названия,13,180,без  названия
145,Озеро,Заборье  (Заборское),"река  Исток  (Заборовский  Исток,  Заборский  Исток)","0,36",0,"Исток  (Заборовский  Исток,  Заборский  Исток)"
146,Река,Истоминка  (Ракитка),река  БЕРЕЗИНКА,16,114,БЕРЕЗИНКА
147,Река,БЕЛЯНКА,река  ИСТРА,17,"86,3",ИСТРА
148,Водохранилище,вдхр  Истринское,река  ИСТРА,"27,4",991,ИСТРА
149,Река,Желонья,река  Истра,32,111,Истра
150,Река,Иловка,река  Истра,20,"59,1",Истра
152,Река,КАЗАЧЬЯ/РАЗБИЩА/,река  ИСТЬЯ,14,0,ИСТЬЯ
155,Река,Высокуша,река  КАМЕНКА,12,0,КАМЕНКА
156,Озеро,"Вашутинское  (Вашуткино,  Романовское)",река  Каменка  (Суяга),"3,080",50,Каменка  (Суяга)
159,Водоток,"канава  без  названия,  у  с.  Криуша",водоток  канава  Криушинская,10,0,канава  Криушинская
160,Водоток,канава  Маслинская,водоток  канава  Криушинская,16,0,канава  Криушинская
161,Канал,канал  Южный,канал  КАНАЛ  ЖИЛИНСКОГО,12,0,КАНАЛ  ЖИЛИНСКОГО
162,Озеро,Карасово  (Карасёво),озеро  Глубокое,"2,28",0,Глубокое
163,Озеро,Глубокое,озеро  Долгое,"0,56",0,Долгое
164,Река,"Каренка  (Керенка,  Дальняя)",река  ВАД,14,0,ВАД
165,Река,"без  названия,  у  с.  Александровки",река  КАРИАН,18,134,КАРИАН
166,Река,Картынь,река  ИЛЕВНА,26,149,ИЛЕВНА
167,Река,Катыш,река  ИСТРА,22,103,ИСТРА
169,Река,Бунчиха  (Песочня),река  КАШИРКА,12,0,КАШИРКА
170,Река,Вязка,река  КАШМА,24,"94,1",КАШМА
171,Река,Голыш,река  КАШМА,15,"60,2",КАШМА
172,Река,Барсучка,река  КАШМА,11,0,КАШМА
173,Река,Казычка,река  КЕРША,11,0,КЕРША
174,Река,Дальняя  Керша,река  КЕРША,23,177,КЕРША
175,Река,Вахчилка,река  КИРЖАЧ(БОЛЬШОЙ  КИРЖАЧ),23,99,КИРЖАЧ(БОЛЬШОЙ  КИРЖАЧ)
176,Река,Бачевка,река  КИРЖАЧ(БОЛЬШОЙ  КИРЖАЧ),17,"77,4",КИРЖАЧ(БОЛЬШОЙ  КИРЖАЧ)
177,Река,Кириклейка,река  Инсарка,16,"87,2",Инсарка
178,Река,Вшивка,река  Кириклейка,12,0,Кириклейка
179,Река,КИТА,река  ВАД,33,157,ВАД
180,Река,"без  названия,  у  с.  Давыдково",река  КИШМА  (ВОРСМА),12,0,КИШМА  (ВОРСМА)
181,Река,КЛЕЩЕВАЯ,река  ВОЖА,17,"37,4",ВОЖА
182,Река,Клинок,река  ВЫТЕБЕТЬ,10,0,ВЫТЕБЕТЬ
183,Река,КЛЮТОМА,река  ЖИЗДРА,32,190,ЖИЗДРА
187,Река,Кокотка  (Черная),водохранилище  вдхр  Пестовское,"9,4","33,6",вдхр  Пестовское
188,Водохранилище,вдхр  Пестовское,водохранилище  вдхр  Акуловское  (Нижнеучинское),"11,6",0,вдхр  Акуловское  (Нижнеучинское)
189,Река,Колдовня,река  ВОЛОСТА,14,0,ВОЛОСТА
190,Река,Колменка,река  Большое  Смедово  (Смедва),11,"29,1",Большое  Смедово  (Смедва)
191,Река,Еза,река  КОЛОКША,10,0,КОЛОКША
192,Река,ЯХРОМА,река  КОЛОКША,19,"48,8",КОЛОКША
193,Река,Выкрос,река  КОЛОКША,16,"73,5",КОЛОКША
194,Река,Вошенка,река  КОЛОКША,14,0,КОЛОКША
195,Река,Колоповка,река  Искона,10,0,Искона
196,Река,Колочка,река  КОЛОКША,40,190,КОЛОКША
197,Река,Воинка,река  Колочь,20,"66,9",Колочь
198,Река,"без  названия,  у  с.  Колочь",река  Колочь,11,0,Колочь
199,Река,Колпенка,река  ЗУША,33,237,ЗУША
200,Река,КЕСТРОМКА,река  КОЛПЬ,34,262,КОЛПЬ
201,Река,КОСТЫЛЯЙКА,река  ИССА,15,"78,4",ИССА
202,Река,Котел,река  ВАД,16,"89,4",ВАД
203,Озеро,Котлино,река  Бужа  (Исток),"0,33",0,Бужа  (Исток)
204,Река,Котуховка,река  ВОЖА,11,"42,2",ВОЖА
206,Река,"без  названия,  у  с.  Высоково",река  КОЧЕРИХА,11,0,КОЧЕРИХА
207,Река,Красивка,река  ВЫШЕНКА,17,"72,8",ВЫШЕНКА
208,Река,Верхняя  Речка,река  Красивка,11,0,Красивка
209,Река,Красная,река  ЖИЗДРА,11,0,ЖИЗДРА
211,Река,Кримега,река  Крома,14,0,Крома
212,Озеро,Круглое,река  АЛЬБА,1,"29,4",АЛЬБА
213,Река,Крушма,река  Крушма,27,130,Крушма
214,Река,Крушма,река  Крушма,12,0,Крушма
215,Река,Бобольская,река  КСЕМА,12,0,КСЕМА
216,Река,"без  названия,  у  с.  Вылетовки",река  КУДЕСНА,10,0,КУДЕСНА
218,Река,Куфтига,река  КОЛОКША,23,"61,3",КОЛОКША
220,Река,Кучка  (Куческая),река  КОЛОКША,15,"50,8",КОЛОКША
221,Река,"без  названия,  у  с.  Данильцево",река  Кушка,11,0,Кушка
222,Река,Кшарский  Исток,река  Исток  (Деев  Исток),18,0,Исток  (Деев  Исток)
223,Озеро,Гарава  (Горава),река  Кшарский  Исток,"0,24",0,Кшарский  Исток
224,Озеро,Кшара  (Кщара),река  Кшарский  Исток,"1,3","12,4",Кшарский  Исток
225,Река,Лавсинка  (Большая  Гусса),река  КОЛПЬ,18,"76,6",КОЛПЬ
227,Река,Березовая,река  Ламочка  (Лампочка),11,0,Ламочка  (Лампочка)
228,Река,Ламка,река  Ламочка  (Лампочка),12,0,Ламочка  (Лампочка)
229,Река,Ламша,водоток  Ламшинская  канава  (Черная  Речка),19,"92,7",Ламшинская  канава  (Черная  Речка)
230,Река,Кохтовязь,река  Ландех  (Попиха),10,0,Ландех  (Попиха)
231,Река,ЛАШУТКА,река  ВОРЯ,16,"51,5",ВОРЯ
232,Река,Ленгас,река  Кермись,20,"93,9",Кермись
233,Река,Каплись,река  Ленгас,11,0,Ленгас
234,Река,АРЖЕНКА,река  ЛЕСНОЙ  ТАМБОВ,14,0,ЛЕСНОЙ  ТАМБОВ
235,Река,"Летевка  (Латос,  Латое)",река  ВАД,25,107,ВАД
238,Река,Липенка,река  Изверь  (Изверя),11,0,Изверь  (Изверя)
239,Река,Липная,река  ИРМЕС,12,0,ИРМЕС
240,Река,ЛИСА,река  ЕРМИШЬ,33,189,ЕРМИШЬ
242,Река,Лисичка,река  ВЫТЕБЕТЬ,13,0,ВЫТЕБЕТЬ
244,Река,Гремша,река  Ловатянка,14,0,Ловатянка
245,Река,Локня,река  Высса,14,0,Высса
246,Река,БЕЗ  НАЗВАНИЯ  У  С.НОВАЯ  ТОЛКОВКА,река  ЛОМОВКА,10,0,ЛОМОВКА
247,Река,Вороновка,река  Лосьминка,24,100,Лосьминка
248,Река,"без  названия,  у  с.  Слободы",река  Лохова,12,0,Лохова
249,Река,Желтянка  (Рессетичка),река  Лохова,11,0,Лохова
251,Река,Лубянка,река  ЖРАКА,17,"69,2",ЖРАКА
252,Река,Городянка,река  ЛУЖА,24,"85,5",ЛУЖА
253,Река,КОРЫЖА  (КАРЫЖА),река  ЛУЖА,10,0,ЛУЖА
254,Река,Бобровка,река  ЛУЖА,19,102,ЛУЖА
255,Река,КСЕМА,река  ЛУЖА,19,103,ЛУЖА
256,Река,ВЫПРЕЙКА,река  ЛУЖА,16,160,ЛУЖА
257,Река,Зазулинка,река  ЛУЖА,13,"63,2",ЛУЖА
258,Река,"без  названия,  у  с.  Никитского",река  ЛУЖА,14,0,ЛУЖА
259,Река,Луктос,река  Варнава,31,191,Варнава
260,Река,Лукьяновка,река  ЖРАКА,12,0,ЖРАКА
261,Река,Исток,река  Лух,18,295,Лух
262,Озеро,Варех,река  Лух,"0,64",0,Лух
263,Река,Любинка,река  Большое  Смедово  (Смедва),18,"84,6",Большое  Смедово  (Смедва)
264,Река,Любовка,водохранилище  вдхр  Любовское,13,"67,2",вдхр  Любовское
265,Река,ЛЮБОСЕЕВКА,река  ВОРЯ,12,"71,2",ВОРЯ
266,Река,"без  названия,  у  с.  Красное",река  ЛЮЛЕХ,12,0,ЛЮЛЕХ
267,Река,Люлих,река  Лух,19,156,Лух
268,Река,Люлих,река  ЛЮЛЕХ,11,0,ЛЮЛЕХ
269,Река,Люлих  (Манинский  Исток),река  Клязьма,36,259,Клязьма
270,Озеро,Инженерное,река  Люлих  (Манинский  Исток),"0,44",0,Люлих  (Манинский  Исток)
272,Река,Лютик,река  ЖРАКА,10,0,ЖРАКА
273,Река,Лютня,река  ВЫТЕБЕТЬ,16,"89,2",ВЫТЕБЕТЬ
274,Река,ЛЮТОРКА,река  ЛОПАСНЯ,20,144,ЛОПАСНЯ
275,Река,Лястьма,река  ВАД,13,0,ВАД
277,Озеро,Глубокое,река  М.ИСТРА,"0,56","25,9",М.ИСТРА
278,Река,Маглуша  (Маголуша),река  М.ИСТРА,40,184,М.ИСТРА
280,Река,Маклец,водохранилище  вдхр  Любовское,6,"21,8",вдхр  Любовское
281,Водохранилище,вдхр  Любовское,водохранилище  вдхр  Шатское  (Иван-Озеро),"2,8",148,вдхр  Шатское  (Иван-Озеро)
282,Река,Маковка,река  Вербиловка,14,0,Вербиловка
283,Река,Малая  Варма,река  Варма,12,0,Варма
284,Река,МАЛАЯ  ВОРОНА,река  ВОРОНЯ  (Б.ВОРОНА),23,160,ВОРОНЯ  (Б.ВОРОНА)
286,Река,Малая  Колодня,река  Колодня  (Большая  Колодня),16,76,Колодня  (Большая  Колодня)
287,Река,Малая  Нигва,река  Большая  Нигва  (Нигва),14,0,Большая  Нигва  (Нигва)
288,Река,Малая  Слоча,река  Большая  Слоча,10,0,Большая  Слоча
289,Озеро,Великое,озеро  Маловское,"4,12",0,Маловское
290,Река,Малое  Смедово,река  Большое  Смедово  (Смедва),16,"81,7",Большое  Смедово  (Смедва)
291,Река,МАЛЫЙ  АТМИСС,река  АТМИСС,41,635,АТМИСС
292,Река,КАЛДУСС,река  МАЛЫЙ  АТМИСС,19,"63,8",МАЛЫЙ  АТМИСС
293,Река,ЛИПЛЕЙКА,река  МАЛЫЙ  АТМИСС,13,0,МАЛЫЙ  АТМИСС
294,Ручьи,КЛЮЧИ,река  МАЛЫЙ  АТМИСС,10,0,МАЛЫЙ  АТМИСС
295,Река,Малый  Березуй,река  Большой  Березуй,10,0,Большой  Березуй
296,Река,Малый  Березуй,река  Большой  Березуй,11,0,Большой  Березуй
297,Река,Малый  Ермишь,река  ЕРМИШЬ,12,0,ЕРМИШЬ
298,Река,Малый  Киржач,река  КИРЖАЧ(БОЛЬШОЙ  КИРЖАЧ),69,413,КИРЖАЧ(БОЛЬШОЙ  КИРЖАЧ)
299,Река,Малый  Ломовис,река  Б.ЛОМОВИС,66,367,Б.ЛОМОВИС
300,Река,Малый  Ломовис,река  Б.ЛОМОВИС,24,196,Б.ЛОМОВИС
301,Река,Б.ЛОМОВИС,река  КАШМА,106,1160,КАШМА
302,Река,Малый  Шуструй  (Юнка),река  Виндрей,23,"81,1",Виндрей
303,Река,"без  названия,  у  с.  Юсуповки",река  МАРКОВКА,10,0,МАРКОВКА
304,Река,Карачаевка  (Карачевка),река  МАРКОВКА,10,0,МАРКОВКА
306,Река,Марчас,река  ВАД,16,"73,2",ВАД
307,Река,Матня  (Матню),река  ЛЮЛЕХ,24,184,ЛЮЛЕХ
308,Река,Машня,река  Выша  (Нокса),30,159,Выша  (Нокса)
309,Река,"без  названия,  у  с.  Усердино",река  Машня,10,0,Машня
310,Река,"без  названия,  у  с.  Красная  Лахань",река  Машок  (Мошок),10,0,Машок  (Мошок)
311,Река,"без  названия,  у  с.  Рагозина",река  Машок  (Мошок),11,0,Машок  (Мошок)
312,Река,Медведка,река  ЖИЗДРА,18,"87,2",ЖИЗДРА
313,Озеро,Медвежье,река  Малашка,"0,44",0,Малашка
317,Река,Мердуш,река  ЕРМИШЬ,39,253,ЕРМИШЬ
318,Река,Мерхляй,река  Инница,10,"53,8",Инница
320,Река,Малая  Мизгея,река  МИЗГЕЯ,20,102,МИЗГЕЯ
321,Река,Маловель,река  МИЗГЕЯ,25,118,МИЗГЕЯ
322,Река,Мисерва,река  ГУСЬ,12,0,ГУСЬ
323,Река,"без  названия,  у  с.  Рабочий  Поселок",река  МИЧКАСС,10,0,МИЧКАСС
324,Река,Могиленка,река  Воря,20,108,Воря
325,Река,Мозни,река  Добрица,13,0,Добрица
327,Река,МОКРЫЙ  МИЧКАС  У  С.ПЕРВОМАЙСКОЕ,река  МИЧКАСС,12,0,МИЧКАСС
328,Река,"без  названия,  у  с.  Полтевы  Пеньки",река  МОКША,28,128,МОКША
329,Река,Ведяжа,река  МОКША,20,146,МОКША
330,Река,Ломовка,река  МОКША,14,0,МОКША
331,Река,Большой  Аксел,река  МОКША,32,179,МОКША
332,Река,Варма,река  МОКША,43,247,МОКША
333,Река,Гуменка,река  МОКША,17,105,МОКША
334,Река,Линьевка,река  МОКША,20,120,МОКША
335,Река,Лашма,река  МОКША,17,"90,1",МОКША
336,Река,КАМОРА,река  МОКША,13,0,МОКША
337,Река,Каурец,река  МОКША,22,"99,3",МОКША
338,Река,ЛОМОВКА,река  МОКША,74,1330,МОКША
339,Река,Ива,река  МОКША,23,128,МОКША
340,Река,Керка,река  МОКША,20,"68,8",МОКША
341,Река,"без  названия,  у  пос.  Горлицыно",река  МОКША,11,0,МОКША
342,Река,Медаевка  (Мадаевка),река  МОКША,14,0,МОКША
343,Река,АЗЯСЬ,река  МОКША,40,300,МОКША
344,Река,Мокшань,река  МОКША,26,0,МОКША
345,Река,Марьинка,река  Молва,15,"92,9",Молва
346,Река,Молодань,река  КИРЖАЧ(БОЛЬШОЙ  КИРЖАЧ),16,103,КИРЖАЧ(БОЛЬШОЙ  КИРЖАЧ)
347,Река,МОЛОДИЛЬНЯ,река  М.ИСТРА,22,"65,7",М.ИСТРА
348,Река,М.ИСТРА,река  ИСТРА,48,483,ИСТРА
350,Река,Вондига  (Вендига),река  Молокча,21,"74,1",Молокча
351,Река,Вертунья,река  Мордвес,11,0,Мордвес
352,Река,Мормозинка,река  ВОРОНЯ  (Б.ВОРОНА),15,104,ВОРОНЯ  (Б.ВОРОНА)
353,Река,КОЛОМЕНКА,река  МОСКВА,51,389,МОСКВА
354,Река,Велегушка,река  МОСКВА,14,"32,4",МОСКВА
355,Река,Мезенка  (Лукьяновка),река  МОСКВА,20,103,МОСКВА
356,Река,Медведка,река  МОСКВА,23,121,МОСКВА
357,Река,БЫКОВКА,река  МОСКВА,11,0,МОСКВА
358,Река,ГОРОДНЯ,река  МОСКВА,16,109,МОСКВА
359,Река,БАНЬКА,река  МОСКВА,22,"71,5",МОСКВА
360,Река,Медвенка,река  МОСКВА,11,"46,4",МОСКВА
361,Река,ЛИПКА,река  МОСКВА,13,"36,3",МОСКВА
362,Река,ВЯЗЕМКА,река  МОСКВА,20,115,МОСКВА
363,Река,Дубешня,река  МОСКВА,14,"37,5",МОСКВА
364,Река,Молодельня,река  МОСКВА,16,"75,7",МОСКВА
365,Река,Жуковка,река  МОСКВА,15,"37,9",МОСКВА
366,Река,Елица,река  МОСКВА,12,"74,7",МОСКВА
367,Река,Ведомка,река  МОСКВА,16,100,МОСКВА
368,Река,Луянка,река  МОСКВА,37,174,МОСКВА
369,Река,Иночь  (Иноча),река  МОСКВА,46,285,МОСКВА
370,Река,Замошня,река  МОСКВА,20,"58,9",МОСКВА
371,Река,Зароченка  (Заречка),река  МОСКВА,16,"64,9",МОСКВА
372,Водохранилище,вдхр  Можайское,река  МОСКВА,31,1360,МОСКВА
373,Водохранилище,вдхр  Перервинское  (Южный  порт),река  МОСКВА,"4,4",8850,МОСКВА
374,Река,Летогоща,река  Мостья,18,"62,2",Мостья
375,Река,Воротца,река  Мостья,14,"55,4",Мостья
376,Река,Луос,река  Мостья,23,186,Мостья
377,Река,Малая  Мостья,река  Мостья,20,"95,4",Мостья
378,Река,Аксень,река  Мостья,15,107,Мостья
379,Озеро,Большое  Моцкое,река  Мотра,"0,36",0,Мотра
380,Река,Калузинка,река  Моша,17,110,Моша
381,Река,Мощенка,река  ВОЖА,12,0,ВОЖА
383,Озеро,Муромское,озеро  Белое,"2,64",0,Белое
385,Река,Медведка,река  МУТЕНКА,11,0,МУТЕНКА
386,Река,МЦЫНЯ,река  ЗУША,10,0,ЗУША
387,Река,ИСТЬЯ,река  НАРА,56,320,НАРА
388,Ручьи,КРЕМЕНКА,река  НАРА,16,125,НАРА
389,Река,ГВОЗДНЯ,река  НАРА,11,0,НАРА
390,Река,Иневка,река  НАРА,11,0,НАРА
391,Река,Нару-Тамбов,река  ЛЕСНОЙ  ТАМБОВ,49,496,ЛЕСНОЙ  ТАМБОВ
392,Река,Кензарь,река  Нару-Тамбов,19,136,Нару-Тамбов
393,Река,НАСМУР,река  ГУСЬ,11,0,ГУСЬ
394,Река,НАХАБИНКА,река  ГРЯЗЕВКА,10,0,ГРЯЗЕВКА
395,Река,ГРЯЗЕВКА,река  ИСТРА,26,109,ИСТРА
396,Река,Нахавня,река  МОСКВА,12,0,МОСКВА
397,Река,Невра,река  Ландех  (Попиха),20,"60,6",Ландех  (Попиха)
399,Озеро,Комгарь,озеро  Негарь,"0,84",0,Негарь
400,Река,Неделена,река  Дебря,10,0,Дебря
401,Река,Недна,река  Крома,17,"65,6",Крома
403,Река,Неживка,река  Крома,22,222,Крома
404,Река,Незнайка,река  Восьма,11,0,Восьма
405,Река,Восьма,река  Беспута,28,214,Беспута
406,Река,НЕЗНАЙКА,река  ДЕСНА,32,207,ДЕСНА
407,Река,Ликова,река  НЕЗНАЙКА,21,"63,4",НЕЗНАЙКА
409,Река,Моховица,река  НЕПОЛОДЬ,42,222,НЕПОЛОДЬ
410,Река,Густовать,река  НЕПОЛОДЬ,16,"60,1",НЕПОЛОДЬ
411,Река,Нережда,река  МИЗГЕЯ,11,0,МИЗГЕЯ
412,Река,Нериска,река  ВАШАНА,11,0,ВАШАНА
413,Река,КАМЕНКА,река  НЕРЛЬ,47,312,НЕРЛЬ
414,Река,Курка,река  НЕРЛЬ,13,0,НЕРЛЬ
415,Река,Крапивновка  (Устье),река  НЕРЛЬ,13,0,НЕРЛЬ
416,Река,Койка,река  НЕРЛЬ,22,248,НЕРЛЬ
417,Река,Незванка,река  НЕРЛЬ,12,0,НЕРЛЬ
418,Река,Зименка,река  НЕРЛЬ,11,0,НЕРЛЬ
419,Река,Желтуха  (Печегда),река  НЕРЛЬ,15,"68,7",НЕРЛЬ
420,Река,Каменка  (Суяга),река  НЕРЛЬ,17,"58,2",НЕРЛЬ
421,Река,Нерошка,река  Изверь  (Изверя),30,"73,5",Изверь  (Изверя)
422,Река,Вольная,река  НЕРСКАЯ,27,143,НЕРСКАЯ
423,Ручьи,Залегощь  (руч.  Коробка),река  НЕРУЧЬ,30,156,НЕРУЧЬ
424,Река,Березовец,река  НЕРУЧЬ,11,0,НЕРУЧЬ
425,Река,Головинка,река  НЕРУЧЬ,12,0,НЕРУЧЬ
426,Река,Должанка,река  НЕРУЧЬ,20,117,НЕРУЧЬ
427,Река,"без  названия,  у  с.  Марьино",река  НЕРУЧЬ,11,0,НЕРУЧЬ
428,Река,Жертвина,река  НЕРУЧЬ,12,0,НЕРУЧЬ
429,Река,МИЛОВСКАЯ,река  НЕРУЧЬ,14,0,НЕРУЧЬ
430,Река,"без  названия,  у  с.  Преображенское",река  НЕРУЧЬ,12,0,НЕРУЧЬ
431,Река,Нига,река  ЛУЖА,23,133,ЛУЖА
432,Река,Мисида,река  Нига,15,"43,7",Нига
433,Река,Нинур,река  ГУСЬ,20,105,ГУСЬ
434,Река,Ничига,река  Крушма,14,0,Крушма
435,Река,НИЩЕНКА,река  ВЕЛИНКА,17,"77,1",ВЕЛИНКА
436,Река,ВЕЛИНКА,река  МОСКВА,16,163,МОСКВА
