date,level
2017-02-06,285.0
2017-02-07,285.0
2017-02-08,285.0
2017-02-09,285.0
2017-02-10,285.0
2017-02-11,285.0
2017-02-12,285.0
2017-02-13,285.0
2017-02-14,285.0
2017-02-15,285.0
2017-02-16,285.0
2017-02-17,285.0
2017-02-18,285.0
2017-02-19,285.0
2017-02-20,285.0
2017-02-21,285.0
2017-02-22,285.0
2017-02-23,285.0
2017-02-24,285.0
2017-02-25,285.0
2017-02-26,285.0
2017-02-27,285.0
2017-02-28,285.0
2017-03-01,285.0
2017-03-02,285.0
2017-03-03,285.0
2017-03-04,285.0
2017-03-05,285.0
2017-03-06,285.0
2017-03-07,285.0
2017-03-08,285.0
2017-03-09,285.0
2017-03-10,285.0
2017-03-11,285.0
2017-03-12,285.0
2017-03-13,332.0
2017-03-14,318.0
2017-03-16,290.0
2017-03-17,278.0
2017-03-18,278.0
2017-03-19,278.0
2017-03-20,276.0
2017-03-21,278.0
2017-03-22,280.0
2017-03-23,280.0
2017-03-24,278.0
2017-03-25,278.0
2017-03-26,278.0
2017-03-27,275.0
2017-03-28,275.0
2017-03-29,276.0
2017-03-30,272.0
2017-03-31,271.0
2017-04-01,271.0
2017-04-02,271.0
2017-04-03,272.0
2017-04-04,274.0
2017-04-05,276.0
2017-04-06,276.0
2017-04-07,274.0
2017-04-08,274.0
2017-04-09,272.0
2017-04-10,271.0
2017-04-11,266.0
2017-04-12,263.0
2017-04-13,256.0
2017-04-14,252.0
2017-04-15,252.0
2017-04-16,253.0
2017-04-17,258.0
2017-04-18,261.0
2017-04-19,268.0
2017-04-20,276.0
2017-04-21,276.0
2017-04-22,282.0
2017-04-23,288.0
2017-04-24,306.0
2017-04-25,326.0
2017-04-26,343.0
2017-04-27,358.0
2017-04-28,373.0
2017-04-29,385.0
2017-04-30,386.0
2017-05-01,402.0
2017-05-02,407.0
2017-05-03,417.0
2017-05-04,428.0
2017-05-05,438.0
2017-05-06,447.0
2017-05-07,456.0
2017-05-08,464.0
2017-05-09,472.0
2017-05-10,479.0
2017-05-11,484.0
2017-05-12,489.0
2017-05-13,498.0
2017-05-14,508.0
2017-05-15,516.0
2017-05-16,522.0
2017-05-17,532.0
2017-05-18,539.0
2017-05-19,548.0
2017-05-20,549.0
2017-05-21,553.0
2017-05-22,556.0
2017-05-23,559.0
2017-05-24,559.0
2017-05-25,557.0
2017-05-26,555.0
2017-05-27,552.0
2017-05-28,548.0
2017-05-29,548.0
2017-05-30,546.0
2017-05-31,543.0
2017-06-01,540.0
2017-06-02,536.0
2017-06-03,532.0
2017-06-04,528.0
2017-06-05,525.0
2017-06-06,518.0
2017-06-07,509.0
2017-06-08,501.0
2017-06-09,490.0
2017-06-10,481.0
2017-06-11,470.0
2017-06-12,460.0
2017-06-13,452.0
2017-06-14,444.0
2017-06-15,437.0
2017-06-16,430.0
2017-06-17,423.0
2017-06-18,419.0
2017-06-19,415.0
2017-06-20,415.0
2017-06-21,415.0
2017-06-22,415.0
2017-06-23,415.0
2017-06-24,415.0
2017-06-25,424.0
2017-06-26,431.0
2017-06-27,434.0
2017-06-28,436.0
2017-06-29,437.0
2017-06-30,437.0
2017-07-01,441.0
2017-07-02,442.0
2017-07-03,446.0
2017-07-04,448.0
2017-07-05,450.0
2017-07-06,452.0
2017-07-07,453.0
2017-07-08,454.0
2017-07-09,456.0
2017-07-10,453.0
2017-07-11,450.0
2017-07-12,446.0
2017-07-13,444.0
2017-07-14,443.0
2017-07-15,445.0
2017-07-16,447.0
2017-07-17,448.0
2017-07-18,453.0
2017-07-19,455.0
2017-07-20,457.0
2017-07-21,466.0
2017-07-22,470.0
2017-07-23,476.0
2017-07-24,479.0
2017-07-25,483.0
2017-07-26,486.0
2017-07-27,486.0
2017-07-28,483.0
2017-07-29,480.0
2017-07-30,480.0
2017-07-31,478.0
2017-08-01,476.0
2017-08-02,472.0
2017-08-03,468.0
2017-08-10,396.0
2017-08-11,390.0
2017-08-12,388.0
2017-08-13,385.0
2017-08-14,394.0
2017-08-15,398.0
2017-08-16,398.0
2017-08-17,393.0
2017-08-18,389.0
2017-08-19,385.0
2017-08-20,376.0
2017-08-21,368.0
2017-08-22,354.0
2017-08-23,345.0
2017-08-24,334.0
2017-08-25,326.0
2017-08-26,320.0
2017-08-27,316.0
2017-08-28,312.0
2017-08-29,312.0
2017-08-30,310.0
2017-09-04,290.0
2017-09-05,290.0
2017-09-06,289.0
2017-09-07,289.0
2017-09-08,289.0
2017-09-09,289.0
2017-09-10,289.0
2017-09-11,289.0
2017-09-12,289.0
2017-09-13,289.0
2017-09-14,287.0
2017-09-15,285.0
2017-09-16,285.0
2017-09-17,285.0
2017-09-18,285.0
2017-09-19,285.0
2017-09-20,285.0
2017-09-21,282.0
2017-09-22,281.0
2017-09-23,281.0
2017-09-24,281.0
2017-09-25,281.0
2017-09-26,281.0
2017-09-27,279.0
2017-09-28,278.0
2017-09-29,277.0
2017-09-30,277.0
2017-10-01,277.0
2017-10-02,282.0
2017-10-03,286.0
2017-10-04,284.0
2017-10-05,282.0
2017-10-06,282.0
2017-10-07,282.0
2017-10-08,284.0
2017-10-09,286.0
2017-10-10,286.0
2017-10-11,284.0
2017-10-12,285.0
2017-10-13,284.0
2017-10-14,284.0
2017-10-15,282.0
2017-10-16,277.0
2017-10-17,274.0
2017-10-18,267.0
2017-10-19,262.0
2017-10-20,259.0
2017-10-21,257.0
2017-10-22,257.0
2017-10-23,256.0
2017-10-24,255.0
2017-10-25,252.0
2017-10-26,251.0
2017-10-27,250.0
2017-10-28,250.0
2017-10-29,250.0
2017-10-30,250.0
2017-10-31,249.0
2017-11-01,248.0
2017-11-02,248.0
2017-11-03,248.0
2017-11-04,248.0
2017-11-05,247.0
2017-11-06,247.0
2017-11-07,247.0
2017-11-08,247.0
2017-11-09,247.0
2017-11-10,246.0
2017-11-11,246.0
2017-11-12,246.0
2017-11-13,246.0
2017-11-14,250.0
2017-11-15,255.0
2017-11-16,264.0
2017-11-17,268.0
2017-11-18,266.0
2017-11-19,264.0
2017-11-20,265.0
2017-11-21,265.0
2017-11-22,264.0
2017-11-23,261.0
2017-11-24,263.0
2017-11-25,263.0
2017-11-27,267.0
2017-11-28,271.0
2017-11-29,274.0
2017-11-30,274.0
2017-12-01,276.0
2017-12-02,276.0
2017-12-03,288.0
2017-12-04,296.0
2017-12-05,316.0
2017-12-06,322.0
2017-12-07,334.0
2017-12-08,334.0
2017-12-09,338.0
2017-12-10,338.0
2017-12-11,336.0
2017-12-12,335.0
2017-12-13,335.0
2017-12-14,335.0
2017-12-15,335.0
2017-12-16,335.0
2017-12-17,335.0
2017-12-18,335.0
2017-12-19,335.0
2017-12-20,335.0
2017-12-21,335.0
2017-12-22,335.0
2017-12-23,335.0
2017-12-24,335.0
2017-12-25,335.0
2017-12-26,335.0
2017-12-27,335.0
2017-12-28,335.0
2017-12-29,335.0
2017-12-30,335.0
2017-12-31,335.0
2018-01-01,335.0
2018-01-02,335.0
2018-01-03,335.0
2018-01-04,335.0
2018-01-05,335.0
2018-01-06,335.0
2018-01-07,335.0
2018-01-08,335.0
2018-01-09,335.0
2018-01-10,335.0
2018-01-11,335.0
2018-01-12,335.0
2018-01-13,335.0
2018-01-14,335.0
2018-01-15,335.0
2018-01-16,335.0
2018-01-17,335.0
2018-01-18,335.0
2018-01-19,335.0
2018-01-20,335.0
2018-01-21,335.0
2018-01-22,335.0
2018-01-23,335.0
2018-01-24,335.0
2018-01-25,335.0
2018-01-26,335.0
2018-01-27,335.0
2018-01-28,335.0
2018-01-29,335.0
2018-01-30,335.0
2018-01-31,335.0
2018-02-01,335.0
2018-02-02,335.0
2018-02-03,335.0
2018-02-04,335.0
2018-02-05,335.0
2018-02-06,335.0
2018-02-07,335.0
2018-02-08,335.0
2018-02-09,335.0
2018-02-10,335.0
2018-02-11,335.0
2018-02-12,335.0
2018-02-13,335.0
2018-02-14,335.0
2018-02-15,335.0
2018-02-16,335.0
2018-02-17,335.0
2018-02-18,335.0
2018-02-19,335.0
2018-02-20,335.0
2018-02-21,335.0
2018-02-22,335.0
2018-02-23,335.0
2018-02-24,335.0
2018-02-25,335.0
2018-02-26,335.0
2018-02-27,335.0
2018-02-28,335.0
2018-03-01,335.0
2018-03-02,335.0
2018-03-03,335.0
2018-03-04,335.0
2018-03-05,335.0
2018-03-06,335.0
2018-03-07,335.0
2018-03-08,335.0
2018-03-09,335.0
2018-03-10,335.0
2018-03-11,335.0
2018-03-12,335.0
2018-03-13,335.0
2018-03-14,335.0
2018-03-15,335.0
2018-03-16,335.0
2018-03-17,335.0
2018-03-18,335.0
2018-03-19,335.0
2018-03-20,335.0
2018-03-21,335.0
2018-03-22,335.0
2018-03-23,335.0
2018-03-24,335.0
2018-03-25,335.0
2018-03-26,312.0
2018-03-27,310.0
2018-03-28,307.0
2018-03-29,338.0
2018-03-30,354.0
2018-03-31,359.0
2018-04-01,370.0
2018-04-02,380.0
2018-04-03,402.0
2018-04-04,413.0
2018-04-05,411.0
2018-04-06,411.0
2018-04-08,400.0
2018-04-09,395.0
2018-04-10,395.0
2018-04-11,393.0
2018-04-12,396.0
2018-04-13,398.0
2018-04-14,398.0
2018-04-15,394.0
2018-04-16,389.0
2018-04-17,386.0
2018-04-18,389.0
2018-04-19,389.0
2018-04-20,398.0
2018-04-21,410.0
2018-04-22,423.0
2018-04-23,446.0
2018-04-24,464.0
2018-04-25,481.0
2018-04-26,494.0
2018-04-27,506.0
2018-04-28,518.0
2018-04-29,531.0
2018-04-30,538.0
2018-05-01,544.0
2018-05-02,549.0
2018-05-03,555.0
2018-05-04,567.0
2018-05-05,565.0
2018-05-06,569.0
2018-05-07,573.0
2018-05-08,577.0
2018-05-09,580.0
2018-05-10,582.0
2018-05-11,584.0
2018-05-12,585.0
2018-05-13,584.0
2018-05-14,581.0
2018-05-15,571.0
2018-05-16,566.0
2018-05-17,561.0
2018-05-18,556.0
2018-05-19,551.0
2018-05-20,544.0
2018-05-21,537.0
2018-05-22,531.0
2018-05-23,526.0
2018-05-24,520.0
2018-05-25,515.0
2018-05-26,511.0
2018-05-27,505.0
2018-05-28,501.0
2018-05-29,497.0
2018-05-30,493.0
2018-05-31,488.0
2018-06-01,484.0
2018-06-02,480.0
2018-06-03,476.0
2018-06-04,476.0
2018-06-06,472.0
2018-06-07,468.0
2018-06-08,466.0
2018-06-09,463.0
2018-06-10,461.0
2018-06-11,455.0
2018-06-12,449.0
2018-06-13,442.0
2018-06-14,436.0
2018-06-15,424.0
2018-06-16,418.0
2018-06-17,413.0
2018-06-18,404.0
2018-06-19,398.0
2018-06-20,392.0
2018-06-21,389.0
2018-06-22,376.0
2018-06-23,364.0
2018-06-24,346.0
2018-06-25,332.0
2018-06-26,330.0
2018-06-27,330.0
2018-06-28,330.0
2018-06-29,338.0
2018-06-30,342.0
2018-07-01,344.0
2018-07-02,347.0
2018-07-03,350.0
2018-07-04,350.0
2018-07-05,350.0
2018-07-06,348.0
2018-07-07,350.0
2018-07-08,350.0
2018-07-09,350.0
2018-07-10,351.0
2018-07-11,353.0
2018-07-12,349.0
2018-07-13,345.0
2018-07-14,348.0
2018-07-15,346.0
2018-07-16,336.0
2018-07-17,334.0
2018-07-18,330.0
2018-07-19,328.0
2018-07-20,330.0
2018-07-21,330.0
2018-07-22,328.0
2018-07-23,328.0
2018-07-24,327.0
2018-07-25,327.0
2018-07-26,326.0
2018-07-27,326.0
2018-07-28,326.0
2018-07-29,326.0
2018-07-30,326.0
2018-07-31,325.0
2018-08-01,324.0
2018-08-02,319.0
2018-08-03,319.0
2018-08-04,313.0
2018-08-05,311.0
2018-08-06,308.0
2018-08-07,302.0
2018-08-08,298.0
2018-08-09,296.0
2018-08-10,282.0
2018-08-11,270.0
2018-08-12,261.0
2018-08-13,254.0
2018-08-14,250.0
2018-08-15,248.0
2018-08-16,247.0
2018-08-17,245.0
2018-08-18,244.0
2018-08-19,243.0
2018-08-20,241.0
2018-08-21,240.0
2018-08-22,240.0
2018-08-23,240.0
2018-08-24,238.0
2018-08-25,238.0
2018-08-26,229.0
2018-08-27,238.0
2018-08-28,236.0
2018-08-29,235.0
2018-08-30,235.0
2018-08-31,235.0
2018-09-01,235.0
2018-09-02,235.0
2018-09-03,236.0
2018-09-04,236.0
2018-09-05,236.0
2018-09-06,236.0
2018-09-07,236.0
2018-09-08,236.0
2018-09-09,236.0
2018-09-10,236.0
2018-09-11,236.0
2018-09-12,235.0
2018-09-13,235.0
2018-09-14,234.0
2018-09-15,234.0
